epoch,loss,mean_position_error,final_position_error,mean_velocity_norm,mean_action_norm
1,100.0716323852539,19.448911666870117,118.77950286865234,2.7455997467041016,0.18773677945137024
10,1.0464270114898682,0.1463117003440857,0.5871318578720093,0.264076292514801,0.09700390696525574
20,0.6371880769729614,0.09731398522853851,0.18633553385734558,0.11857394874095917,0.059348683804273605
30,0.31653258204460144,0.03226848691701889,0.05569900572299957,0.13100287318229675,0.04845569655299187
40,0.22795863449573517,0.026926375925540924,0.014896063134074211,0.08485846221446991,0.019125277176499367
50,0.19609467685222626,0.020301811397075653,0.0024084895849227905,0.08996053040027618,0.014493205584585667
60,0.24314212799072266,0.02632415108382702,0.017571553587913513,0.10547547042369843,0.016813283786177635
70,0.17320115864276886,0.01815260946750641,0.0005708850221708417,0.07916691154241562,0.01254533976316452
80,0.2146342396736145,0.021843433380126953,0.007772814016789198,0.09874629229307175,0.019862215965986252
90,0.1654675155878067,0.016766970977187157,0.0007882745703682303,0.0777512788772583,0.014925063587725163
100,0.17981283366680145,0.01722605898976326,0.0025907305534929037,0.0885237604379654,0.01907714083790779
110,0.16320614516735077,0.014875974506139755,0.0007250623311847448,0.0837491825222969,0.02005280740559101
120,0.16852211952209473,0.014983746223151684,0.000558609317522496,0.08846525102853775,0.020161639899015427
130,0.1504363864660263,0.013764849863946438,0.0005017241346649826,0.07786274701356888,0.018586041405797005
140,0.14636029303073883,0.013097287155687809,0.0003134401049464941,0.0777258574962616,0.018095415085554123
150,0.1397973597049713,0.012413249351084232,0.00032270446536131203,0.07503233104944229,0.018417760729789734
160,0.13575376570224762,0.011803868226706982,0.00033831503242254257,0.07440081983804703,0.018629031255841255
170,0.13271288573741913,0.011328042484819889,0.0002905795117840171,0.07382485270500183,0.019518515095114708
180,0.13110007345676422,0.010952793061733246,0.00041752500692382455,0.07395368814468384,0.020206892862915993
190,0.12860757112503052,0.010577553883194923,0.0003406537289265543,0.07352935522794724,0.020853815600275993
200,0.1275259256362915,0.010269800201058388,0.00046092303819023073,0.07377751916646957,0.02167627029120922
210,0.12535858154296875,0.009973193518817425,0.0003954146523028612,0.07332935929298401,0.022175617516040802
220,0.12452157586812973,0.0097090695053339,0.00048374489415436983,0.07360771298408508,0.02302088961005211
230,0.12257113307714462,0.00946445669978857,0.00041868514381349087,0.07310149818658829,0.023441703990101814
240,0.12210968136787415,0.009243807755410671,0.0005010679014958441,0.07358299940824509,0.02423986606299877
250,0.12028144299983978,0.009034374728798866,0.0004398147575557232,0.07297664880752563,0.02465565875172615
260,0.12006280571222305,0.008844259195029736,0.000506342388689518,0.07354652136564255,0.025472870096564293
270,0.11830397695302963,0.008672800846397877,0.0004691671347245574,0.07287466526031494,0.02574310451745987
280,0.11797324568033218,0.008492251858115196,0.0004995791823603213,0.07327696681022644,0.02658134698867798
290,0.11706866323947906,0.008374583907425404,0.0005233479314483702,0.0730108916759491,0.0269266739487648
300,0.11660394817590714,0.008172530680894852,0.00048572057858109474,0.07314469665288925,0.028195763006806374
1,100.0716323852539,19.448911666870117,118.77950286865234,2.7455997467041016,0.18773677945137024
2,38.60841369628906,7.419361114501953,35.362518310546875,1.4404513835906982,0.15954428911209106
3,13.567780494689941,2.5422658920288086,10.717599868774414,0.8047969341278076,0.10074207186698914
4,4.592911243438721,0.7908868193626404,4.212791919708252,0.5891876220703125,0.10185486078262329
5,1.7849273681640625,0.2688651978969574,1.8155931234359741,0.3935829997062683,0.08971545100212097
6,1.6987438201904297,0.24746574461460114,1.4942219257354736,0.38885489106178284,0.14219826459884644
10,1.0464270114898682,0.1463117003440857,0.5871318578720093,0.264076292514801,0.09700390696525574
11,0.733242392539978,0.08682797104120255,0.3772115409374237,0.2369948774576187,0.12065774947404861
12,0.54874187707901,0.061980489641427994,0.22439464926719666,0.17778867483139038,0.11814813315868378
13,0.3856405019760132,0.04478428512811661,0.07318288087844849,0.11500521749258041,0.0882035419344902
1,100.0716323852539,19.448911666870117,118.77950286865234,2.7455997467041016,0.18773677945137024
2,38.60841369628906,7.419361114501953,35.362518310546875,1.4404513835906982,0.15954428911209106
3,13.567780494689941,2.5422658920288086,10.717599868774414,0.8047969341278076,0.10074207186698914
4,4.592911243438721,0.7908868193626404,4.212791919708252,0.5891876220703125,0.10185486078262329
5,1.7849273681640625,0.2688651978969574,1.8155931234359741,0.3935829997062683,0.08971545100212097
10,1.0464270114898682,0.1463117003440857,0.5871318578720093,0.264076292514801,0.09700390696525574
11,0.733242392539978,0.08682797104120255,0.3772115409374237,0.2369948774576187,0.12065774947404861
12,0.54874187707901,0.061980489641427994,0.22439464926719666,0.17778867483139038,0.11814813315868378
13,0.3856405019760132,0.04478428512811661,0.07318288087844849,0.11500521749258041,0.0882035419344902
20,0.6371880769729614,0.09731398522853851,0.18633553385734558,0.11857394874095917,0.059348683804273605
25,0.2476673573255539,0.024208741262555122,0.0019012398552149534,0.08986040204763412,0.0700920820236206
30,0.31653258204460144,0.03226848691701889,0.05569900572299957,0.13100287318229675,0.04845569655299187
40,0.22795863449573517,0.026926375925540924,0.014896063134074211,0.08485846221446991,0.019125277176499367
